Start Time,Duration, Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
"2020/01/10 02:30:27,075 UTC",0:03:39,Autoplayed: user action: None;,Grey's Anatomy: Season 12: My Next Life (Episode 12),,Apple TV 4K,0:04:23,0:04:23,CA (Canada)
"2020/01/10 01:47:41,448 UTC",0:42:45,,Grey's Anatomy: Season 12: Unbreak My Heart (Episode 11),,Apple TV 4K,0:42:46,0:42:46,CA (Canada)
"2020/01/10 01:22:17,480 UTC",0:25:23,,Grey's Anatomy: Season 12: All I Want Is You (Episode 10),,Apple TV 4K,0:42:27,0:42:27,CA (Canada)
"2020/01/10 00:44:30,350 UTC",0:01:29,Autoplayed: user action: None;,Brooklyn Nine-Nine: Season 1: The Vulture (Episode 5),,iPad Pro 10.5-Inch (Wi-Fi),0:01:30,0:01:30,CA (Canada)
"2020/01/10 00:22:56,937 UTC",0:21:32,,Brooklyn Nine-Nine: Season 1: M.E. Time (Episode 4),,iPad Pro 10.5-Inch (Wi-Fi),0:21:32,0:21:32,CA (Canada)
"2020/01/09 22:06:30,254 UTC",0:13:57,Autoplayed: user action: None;,Brooklyn Nine-Nine: Season 1: The Slump (Episode 3),,iPad Pro 10.5-Inch (Wi-Fi),0:13:57,0:13:57,CA (Canada)
"2020/01/09 21:45:33,004 UTC",0:20:56,Autoplayed: user action: None;,Brooklyn Nine-Nine: Season 1: The Tagger (Episode 2),,iPad Pro 10.5-Inch (Wi-Fi),0:20:56,0:20:56,CA (Canada)
"2020/01/09 21:21:45,297 UTC",0:22:42,,Brooklyn Nine-Nine: Season 1: Pilot (Episode 1),,iPad Pro 10.5-Inch (Wi-Fi),0:22:42,0:22:42,CA (Canada)
"2020/01/09 21:21:25,862 UTC",0:00:05,,Lost in Space: Season 2: Shipwrecked (Episode 1),,iPad Pro 10.5-Inch (Wi-Fi),0:19:44,0:19:44,CA (Canada)
"2020/01/09 21:01:31,575 UTC",0:19:43,Autoplayed: user action: None;,The Office (U.S.): Season 3: Grief Counseling (Episode 4),,iPad Pro 10.5-Inch (Wi-Fi),0:19:43,0:19:43,CA (Canada)
"2020/01/09 20:55:00,340 UTC",0:06:30,,The Office (U.S.): Season 3: The Coup (Episode 3),,iPad Pro 10.5-Inch (Wi-Fi),0:20:43,0:20:43,CA (Canada)
"2020/01/09 19:23:37,552 UTC",0:14:12,,The Office (U.S.): Season 3: The Coup (Episode 3),,iPad Pro 10.5-Inch (Wi-Fi),0:14:12,Not latest view,CA (Canada)
"2020/01/09 19:23:30,982 UTC",0:00:05,,The Office (U.S.): Season 3: The Convention (Episode 2),,iPad Pro 10.5-Inch (Wi-Fi),0:00:05,0:00:05,CA (Canada)
"2020/01/09 19:22:39,284 UTC",0:00:50,,The Office (U.S.): Season 3: Gay Witch Hunt (Episode 1),,iPad Pro 10.5-Inch (Wi-Fi),0:00:50,0:00:50,CA (Canada)
"2020/01/09 19:11:51,790 UTC",0:02:52,,The Office (U.S.): Season 2: The Injury (Episode 12),,iPad Pro 10.5-Inch (Wi-Fi),0:06:09,0:06:09,CA (Canada)
"2020/01/08 23:08:23,399 UTC",0:19:38,,Lost in Space: Season 2: Shipwrecked (Episode 1),,iPad Pro 10.5-Inch (Wi-Fi),0:19:38,Not latest view,CA (Canada)
"2020/01/08 23:05:10,369 UTC",0:03:12,Autoplayed: user action: None;,Season 1 Recap: Lost in Space,RECAP,iPad Pro 10.5-Inch (Wi-Fi),0:03:12,0:03:12,CA (Canada)
"2020/01/08 23:02:01,201 UTC",0:02:56,Autoplayed: user action: None;,The Office (U.S.): Season 2: The Injury (Episode 12),,iPad Pro 10.5-Inch (Wi-Fi),0:02:57,Not latest view,CA (Canada)
"2020/01/08 22:57:27,978 UTC",0:04:29,,The Office (U.S.): Season 2: Booze Cruise (Episode 11),,iPad Pro 10.5-Inch (Wi-Fi),0:20:40,0:20:40,CA (Canada)
"2020/01/08 22:56:45,169 UTC",0:00:01,,The Office (U.S.): Season 2: Booze Cruise (Episode 11),,iPad Pro 10.5-Inch (Wi-Fi),0:16:11,Not latest view,CA (Canada)
"2020/01/08 22:38:00,264 UTC",0:07:10,Autoplayed: user action: None;,The Office (U.S.): Season 2: Booze Cruise (Episode 11),,iPad Pro 10.5-Inch (Wi-Fi),0:16:10,Not latest view,CA (Canada)
"2020/01/08 22:21:18,305 UTC",0:16:39,,The Office (U.S.): Season 2: Christmas Party (Episode 10),,iPad Pro 10.5-Inch (Wi-Fi),0:21:17,0:21:17,CA (Canada)
"2020/01/08 22:21:03,340 UTC",0:00:07,Autoplayed: user action: None;,Dracula: Season 1 (:30 Product Preview),PREVIEW,iPad Pro 10.5-Inch (Wi-Fi),0:00:07,0:00:07,CA (Canada)
"2020/01/08 21:57:54,713 UTC",0:04:37,Autoplayed: user action: None;,The Office (U.S.): Season 2: Christmas Party (Episode 10),,iPad Pro 10.5-Inch (Wi-Fi),0:04:38,Not latest view,CA (Canada)
"2020/01/08 21:36:39,797 UTC",0:20:26,Autoplayed: user action: None;,The Office (U.S.): Season 2: Email Surveillance (Episode 9),,iPad Pro 10.5-Inch (Wi-Fi),0:21:36,0:21:36,CA (Canada)
"2020/01/08 21:35:15,885 UTC",0:01:20,,The Office (U.S.): Season 2: Performance Review (Episode 8),,iPad Pro 10.5-Inch (Wi-Fi),0:21:10,0:21:10,CA (Canada)
"2020/01/08 21:35:10,105 UTC",0:00:04,Autoplayed: user action: None;,Messiah: Season 1 (:30 Product Preview),PREVIEW,iPad Pro 10.5-Inch (Wi-Fi),0:00:04,0:00:04,CA (Canada)
"2020/01/08 19:21:00,803 UTC",0:00:53,Autoplayed: user action: None;,Scissor Seven: Season 1 (Trailer),TRAILER,Apple TV 4K,0:00:54,0:00:54,CA (Canada)
"2020/01/08 19:03:50,587 UTC",0:17:04,Autoplayed: user action: None;,Grey's Anatomy: Season 12: All I Want Is You (Episode 10),,Apple TV 4K,0:17:04,Not latest view,CA (Canada)
"2020/01/08 18:31:44,108 UTC",0:32:06,,Grey's Anatomy: Season 12: The Sound of Silence (Episode 9),,Apple TV 4K,0:42:46,0:42:46,CA (Canada)
"2020/01/08 07:25:51,736 UTC",0:00:04,Autoplayed: user action: None;,Messiah: Season 1 (:30 Product Preview),PREVIEW,iPad Pro 10.5-Inch (Wi-Fi),0:00:04,Not latest view,CA (Canada)
"2020/01/08 06:08:34,846 UTC",0:10:39,Autoplayed: user action: None;,Grey's Anatomy: Season 12: The Sound of Silence (Episode 9),,Apple TV 4K,0:10:40,Not latest view,CA (Canada)
